product_category,item_sales,item_row_count,product_count,order_count,buyer_count,item_sales_share,item_sales_per_product
health_beauty,986035.8,7600,2012,6928,6833,0.09678811563620025,490.077435387674
watches_gifts,962328.05,5016,1097,4708,4645,0.09446099075039577,877.2361440291705
bed_bath_table,768510.95,8387,2483,7022,6865,0.07543613192977994,309.5090414820781
sports_leisure,736116.07,6432,2284,5771,5650,0.07225628856966985,322.29249999999996
computers_accessories,673424.32,5974,1315,5116,5020,0.06610254004610128,512.1097490494296
furniture_decor,535378.59,5914,1858,4523,4441,0.05255213337899683,288.1477879440258
housewares,486807.08,5147,1901,4344,4298,0.04778441102398208,256.0794739610731
auto,452590.91,3358,1634,3125,3096,0.044425791977302544,276.98342105263157
cool_stuff,402851.63,2449,564,2346,2335,0.0395434426910988,714.2759397163121
toys,348730.34,2947,1113,2771,2743,0.034230960451711215,313.32465408805035
garden_tools,331084.25,3221,529,2571,2551,0.032498840989672616,625.8681474480152
baby,331052.41,2375,779,2241,2221,0.03249571561268138,424.97100128369703
perfumery,263362.19,2483,691,2280,2256,0.025851323146606788,381.1319681620839
telephony,252159.3,3341,881,3077,3044,0.02475166062646337,286.2194097616345
office_furniture,192191.42,1181,260,854,848,0.018865283981824525,739.1977692307693
stationery,187063.73,2083,727,1903,1892,0.018361955955938862,257.3091196698762
computers,180535.15,169,26,147,147,0.017721118213556503,6943.659615384615
pet_shop,161922.67,1462,551,1279,1268,0.01589413904452789,293.87054446460985
musical_instruments,147264.33,522,231,493,492,0.01445529361218685,637.507922077922
construction_tools_construction,139527.0,890,388,716,712,0.01369580638996283,359.6056701030928
electronics,125962.51,2357,444,2178,2170,0.012364331988459272,283.6993468468468
unknown,121973.58,1056,401,967,962,0.011972783306246407,304.1735162094763
small_appliances,116731.22,465,170,426,426,0.011458199407886338,686.6542352941176
fashion_bags_accessories,111804.42,1425,633,1315,1279,0.010974590508375355,176.6262559241706
consoles_games,100685.66,790,225,738,735,0.009883186090187741,447.49182222222225
home_appliances_2,97480.02,184,78,181,179,0.009568524234088776,1249.743846153846
luggage_accessories,88009.01,701,284,663,659,0.008638861019962463,309.8908802816901
home_construction,74686.12,559,206,459,459,0.007331101790603473,362.5539805825243
agro_industry_and_commerce,65955.36,184,68,159,159,0.006474100646758684,969.9317647058824
home_appliances,65265.56,577,300,573,532,0.006406390689203541,217.55186666666665
small_appliances_home_oven_and_coffee,46495.76,71,29,70,70,0.004563969173809931,1603.3020689655173
fixed_telephony,46392.93,130,72,107,107,0.004553875501824725,644.34625
furniture_living_room,44804.88,328,132,280,275,0.004397994379621993,339.4309090909091
audio,42696.27,289,37,278,277,0.0041910156994243285,1153.9532432432432
kitchen_dining_laundry_garden_furniture,40132.72,228,77,198,198,0.003939380643334904,521.2041558441558
construction_tools_lights,39008.0,298,77,239,239,0.003828979449566536,506.5974025974026
construction_tools_safety,38385.32,181,86,157,156,0.003767857912352219,446.34093023255815
home_confort,36562.98,273,84,252,252,0.003588979159016414,435.2735714285715
industry_commerce_and_business,35782.58,249,64,217,215,0.003512376011907059,559.1028125
air_conditioning,33642.05,196,88,167,166,0.003302264102012149,382.29602272727277
books_general_interest,33506.06,411,173,378,373,0.0032889154833865702,193.67664739884393
food,23541.28,440,73,384,382,0.0023107843861897995,322.48328767123286
drinks,20532.11,349,76,277,272,0.0020154077944585617,270.1593421052632
signaling_and_security,19615.43,179,82,122,121,0.0019254275626643489,239.21256097560976
costruction_tools_garden,19510.29,193,77,160,158,0.0019151071437931578,253.3803896103896
books_technical,16260.95,243,106,236,235,0.001596155747037248,153.4051886792453
art,15603.8,175,42,173,173,0.0015316506751216754,371.5190476190476
costruction_tools_tools,14371.05,100,38,94,94,0.001410645383477573,378.18552631578945
fashion_shoes,14064.39,133,99,124,123,0.0013805439981718903,142.06454545454545
food_drink,13743.28,225,80,184,182,0.0013490242178434881,171.791
furniture_bedroom,13524.67,73,30,63,62,0.0013275657170880087,450.82233333333335
market_place,11791.55,159,62,140,140,0.001157444694127776,190.18629032258065
christmas_supplies,8360.15,143,60,119,119,0.0008206225016738535,139.33583333333334
fashion_underwear_beach,6611.5,84,31,77,77,0.0006489770721597917,213.2741935483871
cine_photo,6359.47,65,26,58,58,0.000624238103469414,244.595
fashion_male_clothing,5783.150000000001,67,49,56,55,0.0005676672093868108,118.02346938775511
music,4530.86,28,21,28,28,0.0004447438943002214,215.75523809523807
party_supplies,4395.29,41,25,37,37,0.0004314365023811859,175.8116
books_imported,4238.87,53,27,47,46,0.00041608249895878034,156.9951851851852
portateis_cozinha_e_preparadores_de_alimentos,3933.63,14,9,13,13,0.00038612049918474193,437.07
furniture_mattress_and_upholstery,2999.3,30,7,30,30,0.00029440776412748443,428.4714285714286
tablets_printing_image,2370.66,38,6,36,36,0.00023270120031556102,395.10999999999996
arts_and_craftmanship,1662.1200000000001,22,17,21,19,0.00016315174637801302,97.77176470588236
dvds_blu_ray,1546.8,35,24,32,31,0.00015183207066728666,64.45
diapers_and_hygiene,1365.8899999999999,36,10,24,23,0.0001340741576181408,136.589
flowers,1110.04,33,14,29,29,0.00010896022221587463,79.28857142857143
la_cuisine,1055.0,6,4,5,5,0.00010355756048227788,263.75
fashio_female_clothing,1032.34,22,8,13,13,0.00010133328150547369,129.0425
fashion_sport,933.8,13,8,10,10,9.166071087995363e-05,116.725
pc_gamer,786.99,4,2,3,3,7.725001376677523e-05,393.495
cds_dvds_musicals,370.0,6,1,6,6,3.631876528762352e-05,370.0
fashion_childrens_clothes,299.95,5,2,5,5,2.9442739589250476e-05,149.975
home_comfort_2,267.19,19,2,14,13,2.6227056478919267e-05,133.595
security_and_services,100.0,1,1,1,1,9.81588251016852e-06,100.0
