customer_state,item_sales,order_count,buyer_count,average_item_sales_per_order,orders_per_buyer,item_sales_per_buyer,item_sales_share
SP,3976325.47,31828,30937,124.93167871056932,1.0288004654620682,128.52976920839126,0.39031143635710613
RJ,1323526.69,9345,9077,141.62939432851792,1.0295251735154787,145.81102677095956,0.1299158248811223
MG,1216237.56,8705,8480,139.71712349224583,1.0265330188679245,143.42424056603775,0.11938444993414034
RS,549133.96,3941,3846,139.3387363613296,1.0247009880395215,142.78054082163285,0.05390234433703578
PR,505791.09,3710,3626,136.33183018867925,1.0231660231660231,139.49009652509653,0.04964785914130071
SC,390198.21,2691,2638,145.0011928651059,1.0200909780136467,147.9144086429113,0.03830139785038063
BA,369483.45,2482,2416,148.86520950846094,1.0273178807947019,152.9318915562914,0.03626806134651724
DF,233355.28,1665,1621,140.15332132132133,1.027143738433066,143.95760641579272,0.022905880116074775
GO,214307.13,1501,1460,142.77623584277148,1.0280821917808218,146.78570547945205,0.02103613609171411
ES,209696.25,1516,1479,138.32206464379948,1.0250169033130494,141.78245436105476,0.02058353752822925
PE,199593.57,1229,1202,162.40323026851098,1.0224625623960066,166.05122296173045,0.019591870329050957
CE,164987.69,952,938,173.30639705882353,1.0149253731343284,175.89305970149255,0.016194997806641052
PA,119969.07,673,660,178.2601337295691,1.0196969696969698,181.7713181818182,0.011776022959741827
MT,114101.57,682,662,167.30435483870968,1.0302114803625377,172.35886706948642,0.01120007605345769
MA,92666.17,528,516,175.50410984848486,1.0232558139534884,179.5856007751938,0.009096002373873027
PB,87774.96,386,377,227.39626943005183,1.023872679045093,232.8248275862069,0.008615886946947413
MS,85005.23,554,542,153.43904332129964,1.022140221402214,156.8362177121771,0.008344013504298522
RN,65203.29,358,351,182.13209497206705,1.01994301994302,185.76435897435897,0.006400278339164458
PI,61485.43,357,349,172.22809523809525,1.0229226361031518,176.17601719197708,0.006035337569671907
AL,53272.71,283,278,188.24279151943463,1.0179856115107915,191.62845323741007,0.005229186623582795
SE,42246.37,230,227,183.67986956521742,1.013215859030837,186.10735682819384,0.00414685404401108
TO,35246.42,204,200,172.77656862745098,1.02,176.2321,0.0034597471762405382
RO,35172.89,166,160,211.8848795180723,1.0375,219.83056249999998,0.0034525295578308117
AM,16616.22,100,99,166.1622,1.0101010101010102,167.84060606060606,0.0016310286328311235
AP,10497.89,52,52,201.8825,1.0,201.8825,0.0010304605484467298
AC,9535.81,47,46,202.8895744680851,1.0217391304347827,207.30021739130433,0.0009360239059929005
RR,6140.62,28,27,219.30785714285713,1.037037037037037,227.43037037037035,0.0006027560445959101
