product_category,november_item_sales,december_item_sales,item_sales_change,change_contribution
bed_bath_table,87957.63,50081.16,-37876.47,0.14471460865072078
computers_accessories,69676.32,37428.67,-32247.65000000001,0.1232085790902747
furniture_decor,62091.27,31073.09,-31018.179999999997,0.11851114371950748
watches_gifts,95292.34,69556.92,-25735.42,0.098327305415788
cool_stuff,55696.66,37515.57,-18181.090000000004,0.06946448082922019
health_beauty,78274.4,60688.75,-17585.649999999994,0.06718948354000642
garden_tools,44275.18,26795.69,-17479.49,0.06678387808484232
telephony,26117.63,12780.44,-13337.19,0.05095739469254412
office_furniture,17919.2,6684.37,-11234.830000000002,0.04292490896610422
agro_industry_and_commerce,13932.49,5291.7,-8640.79,0.03301386172689962
housewares,33872.42,25285.96,-8586.46,0.03280628312498677
toys,62611.26,55064.56,-7546.700000000004,0.02883367264965281
perfumery,31612.13,26448.94,-5163.190000000002,0.01972699726873479
musical_instruments,15776.89,10823.5,-4953.389999999999,0.018925414521057365
pet_shop,11167.79,7126.74,-4041.050000000001,0.015439637571505353
sports_leisure,62686.24,58722.48,-3963.7599999999948,0.015144335709884797
furniture_living_room,6212.95,2316.0099999999998,-3896.94,0.014889036571658864
air_conditioning,4076.62,668.8,-3407.8199999999997,0.013020256049523601
home_appliances,4515.94,1331.0,-3184.9399999999996,0.012168698552848948
home_confort,5355.39,2257.8,-3097.59,0.011834960454614334
consoles_games,11772.28,8885.01,-2887.2700000000004,0.011031390943215315
home_appliances_2,4854.93,1990.16,-2864.7700000000004,0.010945425205261351
fashion_bags_accessories,12849.33,9999.76,-2849.5699999999997,0.010887350573399113
luggage_accessories,8301.15,5969.21,-2331.9399999999996,0.008909641909527517
construction_tools_lights,2199.48,176.0,-2023.48,0.007731108952670628
construction_tools_safety,3280.69,1384.92,-1895.77,0.007243167424043922
electronics,9992.99,8518.61,-1474.3799999999992,0.005633162876647417
food_drink,2445.57,1033.68,-1411.89,0.005394407367103274
baby,21048.19,19658.48,-1389.7099999999991,0.0053096642529779844
construction_tools_construction,6993.56,5830.35,-1163.21,0.004444275824241407
audio,3677.23,2686.93,-990.3000000000002,0.0037836386798138478
christmas_supplies,1312.6,493.90000000000003,-818.6999999999998,0.0031280066516849395
kitchen_dining_laundry_garden_furniture,5007.39,4277.3,-730.0900000000001,0.0027894544721249036
furniture_bedroom,873.0,185.0,-688.0,0.002628641231659019
market_place,1355.98,703.25,-652.73,0.0024938851615418484
fashion_shoes,1707.8,1099.0,-608.8,0.002326041834061062
fashion_male_clothing,880.99,450.89,-430.1,0.001643282839733349
party_supplies,850.7,515.2,-335.5,0.0012818446703802338
costruction_tools_garden,1218.5,928.9,-289.6,0.0011064745649541454
books_general_interest,2630.9700000000003,2352.2,-278.77000000000044,0.001065096389752305
cine_photo,242.0,0.0,-242.0,0.0009246092704382015
industry_commerce_and_business,1994.8700000000001,1828.5,-166.37000000000012,0.0006356497699289409
la_cuisine,137.0,0.0,-137.0,0.0005234358266530314
cds_dvds_musicals,195.0,65.0,-130.0,0.0004966909304006868
flowers,187.8,82.7,-105.10000000000001,0.00040155551373163216
books_technical,768.9,670.69,-98.20999999999992,0.00037523089442039544
fashio_female_clothing,59.98,0.0,-59.98,0.0002291655538879476
fashion_underwear_beach,1221.6,1173.1,-48.5,0.00018530392403410238
home_comfort_2,38.7,0.0,-38.7,0.00014786106928081985
books_imported,247.0,231.0,-16.0,6.113119143393067e-05
fashion_sport,59.9,59.9,0.0,-0.0
dvds_blu_ray,79.78999999999999,119.9,40.110000000000014,-0.00015324825552593503
art,75.0,115.25,40.25,-0.00015378315345098185
fixed_telephony,943.98,998.77,54.789999999999964,-0.00020933612366656623
tablets_printing_image,350.40000000000003,419.40000000000003,69.0,-0.00026362826305882604
diapers_and_hygiene,0.0,76.0,76.0,-0.0002903731593111707
costruction_tools_tools,269.5,349.4,79.89999999999998,-0.00030527388722319124
signaling_and_security,596.79,770.0,173.21000000000004,-0.000661783354266946
food,498.09,939.34,441.25000000000006,-0.0016858836387638697
furniture_mattress_and_upholstery,334.0,803.7,469.70000000000005,-0.0017945825385323275
small_appliances,6782.92,7539.7699999999995,756.8499999999995,-0.00289169638979815
drinks,674.12,2132.84,1458.7200000000003,-0.005573330723031461
home_construction,4936.72,6525.3,1588.58,-0.006069486755507099
unknown,13786.55,15497.67,1711.1200000000008,-0.00653767526790172
auto,34736.49,39019.96,4283.470000000001,-0.016365851535718696
computers,9768.0,16741.0,6973.0,-0.026641737366799912
stationery,16406.19,24793.1,8386.91,-0.03204386254682172
