customer_state,november_item_sales,december_item_sales,item_sales_change,change_contribution
SP,350790.18,274951.74,-75838.44,0.28975588710566663
MG,132686.09,91152.9,-41533.19,0.15868583679698847
RJ,147782.4,112259.63,-35522.76999999999,0.13572182832084306
PR,45751.34,29894.54,-15856.799999999996,0.06058406727059698
RS,57463.27,41904.95,-15558.32,0.05944366489439702
SC,37870.9,24234.89,-13636.010000000002,0.052099096106562076
ES,23858.76,12189.76,-11668.999999999998,0.04458374205265856
DF,26406.16,16829.68,-9576.48,0.036588852008950526
CE,18353.59,10299.44,-8054.15,0.030772486592974546
GO,20726.21,15674.93,-5051.279999999999,0.01929942279164908
RN,8215.66,3168.45,-5047.21,0.01928387254482808
MA,9838.59,5590.15,-4248.4400000000005,0.01623201243347303
PE,19599.24,15670.62,-3928.620000000001,0.01501007633069805
RO,5852.16,1949.5800000000002,-3902.58,0.014910585316639323
AL,5936.26,2223.87,-3712.3900000000003,0.01418392648546312
SE,5579.25,3147.7799999999997,-2431.4700000000003,0.009289916127241215
MT,11381.710000000001,9017.2,-2364.51,0.009034082091090216
AM,2635.25,1029.46,-1605.79,0.006135240993293221
PA,11666.53,10420.23,-1246.300000000001,0.004761737742756742
BA,28819.04,27799.77,-1019.2700000000004,0.0038943243433039094
TO,2336.06,1457.01,-879.05,0.0033585858643747973
MS,5850.88,5231.45,-619.4300000000003,0.002366655869369981
RR,98.64,0.0,-98.64,0.00037687379519018264
PI,2707.81,2646.92,-60.88999999999987,0.00023264239040075195
AP,511.88,601.9,90.01999999999998,-0.0003439393658051524
AC,649.92,1100.78,450.86,-0.0017226005606188742
PB,4397.59,5585.56,1187.9700000000003,-0.004538876342985415
