order_month,new_item_sales,existing_item_sales,total_item_sales,new_buyer_count,existing_buyer_count,total_buyer_count,new_item_sales_share,existing_item_sales_share,new_buyer_share,item_sales_difference,buyer_count_difference
2017-09,597783.07,9616.6,607399.67,4004,79,4083,0.9841675910031362,0.01583240899686363,0.9806514817536125,9.276845958083868e-11,0
2017-10,636772.38,11475.27,648247.65,4328,89,4417,0.982298015272404,0.017701984727596005,0.9798505773149196,1.8189894035458565e-11,0
2017-11,972614.06,15151.31,987765.37,7060,123,7183,0.9846610232954411,0.015338976704558896,0.9828762355561743,-6.002665031701326e-11,0
2017-12,709843.58,16189.61,726033.1900000001,5338,112,5450,0.9777012811218725,0.02229871887812732,0.9794495412844036,1.0186340659856796e-10,0
2018-01,906733.35,17911.65,924645.0,6842,132,6974,0.9806286196323994,0.01937138036760054,0.9810725552050473,2.1827872842550278e-11,0
2018-02,813053.18,13383.95,826437.13,6288,112,6400,0.9838052411802941,0.016194758819705984,0.9825,-4.729372449219227e-11,0
2018-03,937192.39,16163.86,953356.25,6774,140,6914,0.9830453096625736,0.01695469033742633,0.9797512293896442,-1.4551915228366852e-11,0
2018-04,952665.48,20868.61,973534.09,6582,162,6744,0.9785640685679533,0.02143593143204672,0.9759786476868327,-1.4551915228366852e-11,0
2018-05,953140.05,24404.64,977544.6900000001,6506,187,6693,0.9750347577459604,0.024965242254039555,0.9720603615717914,1.4551915228366852e-11,0
2018-06,830699.75,25378.11,856077.86,5878,183,6061,0.9703553716480882,0.029644628351911825,0.9698069625474344,-1.4551915228366852e-11,0
2018-07,847944.56,20008.9,867953.46,5949,151,6100,0.97694703584683,0.023052964153170152,0.9752459016393442,-9.458744898438454e-11,0
2018-08,820059.08,18517.56,838576.64,6144,166,6310,0.977917868067491,0.022082131932508877,0.9736925515055468,5.4569682106375694e-11,0
