product_category,october_item_sales,november_item_sales,item_sales_change,change_contribution
bed_bath_table,46007.7,87957.63,41949.93,0.1236
health_beauty,40698.99,78274.4,37575.41,0.1107
furniture_decor,30009.74,62091.27,32081.53,0.0945
watches_gifts,64874.63,95292.34,30417.71,0.0896
toys,33324.42,62611.26,29286.84,0.0863
computers_accessories,42009.38,69676.32,27666.94,0.0815
garden_tools,25798.75,44275.18,18476.43,0.0544
housewares,15883.68,33872.42,17988.74,0.053
perfumery,16877.82,31612.13,14734.31,0.0434
sports_leisure,48568.98,62686.24,14117.26,0.0416
auto,21419.39,34736.49,13317.1,0.0392
cool_stuff,44348.23,55696.66,11348.43,0.0334
agro_industry_and_commerce,3350.28,13932.49,10582.21,0.0312
musical_instruments,6329.26,15776.89,9447.63,0.0278
stationery,7697.17,16406.19,8709.02,0.0257
electronics,3376.35,9992.99,6616.64,0.0195
fashion_bags_accessories,7584.66,12849.33,5264.67,0.0155
telephony,20859.18,26117.63,5258.45,0.0155
furniture_living_room,1532.79,6212.95,4680.16,0.0138
baby,16497.5,21048.19,4550.69,0.0134
construction_tools_construction,2576.18,6993.56,4417.38,0.013
pet_shop,8243.58,11167.79,2924.21,0.0086
home_appliances_2,2104.27,4854.93,2750.66,0.0081
home_appliances,1837.68,4515.94,2678.26,0.0079
luggage_accessories,6240.34,8301.15,2060.81,0.0061
books_general_interest,734.5,2630.97,1896.47,0.0056
home_confort,3619.8,5355.39,1735.59,0.0051
construction_tools_lights,500.0,2199.48,1699.48,0.005
construction_tools_safety,1668.85,3280.69,1611.84,0.0047
kitchen_dining_laundry_garden_furniture,3428.6,5007.39,1578.79,0.0047
air_conditioning,2562.42,4076.62,1514.2,0.0045
consoles_games,10380.72,11772.28,1391.56,0.0041
audio,2328.58,3677.23,1348.65,0.004
fashion_underwear_beach,187.8,1221.6,1033.8,0.003
christmas_supplies,388.05,1312.6,924.55,0.0027
home_construction,4201.17,4936.72,735.55,0.0022
party_supplies,137.8,850.7,712.9,0.0021
costruction_tools_garden,746.9,1218.5,471.6,0.0014
market_place,1019.54,1355.98,336.44,0.001
furniture_mattress_and_upholstery,0.0,334.0,334.0,0.001
small_appliances,6464.85,6782.92,318.07,0.0009
tablets_printing_image,99.0,350.4,251.4,0.0007
books_imported,0.0,247.0,247.0,0.0007
flowers,0.0,187.8,187.8,0.0006
cine_photo,69.0,242.0,173.0,0.0005
cds_dvds_musicals,45.0,195.0,150.0,0.0004
food_drink,2297.23,2445.57,148.34,0.0004
drinks,596.98,674.12,77.14,0.0002
fashio_female_clothing,0.0,59.98,59.98,0.0002
office_furniture,17890.83,17919.2,28.37,0.0001
la_cuisine,137.0,137.0,0.0,0.0
fashion_sport,59.9,59.9,0.0,0.0
home_comfort_2,64.5,38.7,-25.8,-0.0001
fashion_childrens_clothes,39.99,0.0,-39.99,-0.0001
music,54.9,0.0,-54.9,-0.0002
furniture_bedroom,943.9,873.0,-70.9,-0.0002
fashion_male_clothing,971.9,880.99,-90.91,-0.0003
dvds_blu_ray,174.6,79.79,-94.81,-0.0003
books_technical,880.0,768.9,-111.1,-0.0003
signaling_and_security,744.0,596.79,-147.21,-0.0004
fashion_shoes,1860.92,1707.8,-153.12,-0.0005
industry_commerce_and_business,2256.69,1994.87,-261.82,-0.0008
art,349.05,75.0,-274.05,-0.0008
food,806.06,498.09,-307.97,-0.0009
costruction_tools_tools,1018.6,269.5,-749.1,-0.0022
unknown,16321.27,13786.55,-2534.72,-0.0075
fixed_telephony,3751.88,943.98,-2807.9,-0.0083
computers,40393.92,9768.0,-30625.92,-0.0902
