customer_state,october_item_sales,november_item_sales,item_sales_change,change_contribution
SP,219804.08,350790.18,130986.1,0.3858004819306633
RJ,95492.24,147782.4,52290.15999999999,0.1540130512186521
MG,80710.11,132686.09,51975.979999999996,0.15308767978295798
RS,37126.33,57463.27,20336.939999999995,0.059899495083791186
SC,21022.55,37870.9,16848.350000000002,0.04962436128517828
DF,12634.5,26406.16,13771.66,0.04056241895121114
ES,10380.69,23858.76,13478.069999999998,0.03969769236197745
PR,32639.41,45751.34,13111.929999999997,0.038619280313263164
CE,12053.02,18353.59,6300.57,0.01855741137752692
BA,23319.920000000002,28819.04,5499.119999999999,0.016196857118385453
PA,6722.58,11666.53,4943.950000000001,0.014561684733274011
RO,1609.97,5852.16,4242.19,0.012494752851191388
GO,16591.05,20726.21,4135.16,0.012179511573063106
RN,4202.47,8215.66,4013.1899999999996,0.01182026670065998
AM,70.88,2635.25,2564.37,0.007552978383573028
PE,17120.19,19599.24,2479.050000000003,0.007301680748798627
SE,4294.21,5579.25,1285.04,0.003784898178510388
MT,10749.01,11381.710000000001,632.7000000000007,0.0018635257093503122
AL,5344.36,5936.26,591.9000000000005,0.0017433552510896942
AC,683.22,649.92,-33.30000000000007,-9.808030049212178e-05
RR,388.98,98.64,-290.34000000000003,-0.0008551541875340115
MS,6267.84,5850.88,-416.96000000000004,-0.0012280949577536042
TO,2808.85,2336.06,-472.78999999999996,-0.001392534092182287
MA,10335.8,9838.59,-497.2099999999991,-0.001464459645876507
AP,1591.85,511.88,-1079.9699999999998,-0.0031808943580323283
PI,4047.04,2707.81,-1339.23,-0.003944506931773693
PB,10236.5,4397.59,-5838.91,-0.01719765907947308
